,대지위치,주용도코드명,착공예정일,착공연기일,실제착공일,지역코드명
0,서울특별시 서초구 서초동 1303-35번지,공동주택,20230313.0,,20230313.0,일반상업지역
1,서울특별시 서초구 서초동 1305-5번지,제1종근린생활시설,20230313.0,,20230316.0,일반상업지역
2,서울특별시 서초구 서초동 1327-8번지,업무시설,20230403.0,,20230324.0,가로구역별 최고높이 제한지역
3,서울특별시 서초구 서초동 1451-22번지,제2종근린생활시설,20230327.0,,20230330.0,도시지역
4,서울특별시 서초구 서초동 1496-7번지,공동주택,20230120.0,,20230327.0,도시지역
5,서울특별시 서초구 서초동 1546-1번지,업무시설,20221212.0,,20221215.0,도시지역
6,서울특별시 서초구 서초동 1555-11번지,제2종근린생활시설,20230109.0,,20230109.0,도시지역
7,서울특별시 서초구 서초동 1668-13번지,제2종근린생활시설,20230215.0,,20230217.0,도시지역
8,서울특별시 서초구 서초동 1671-2번지,교육연구시설,20221220.0,,20221220.0,가로구역별 최고높이 제한지역
9,서울특별시 서초구 서초동 1671-2번지,제2종근린생활시설,20230203.0,,20230203.0,일반상업지역
10,서울특별시 서초구 서초동 1675-7번지,업무시설,20230210.0,,20230214.0,일반상업지역
