,대지위치,주용도코드명,착공예정일,실제착공일,지역코드명
0,서울특별시 동대문구 신설동 102-47번지,공동주택,20230116.0,20230126.0,준주거지역
1,서울특별시 동대문구 신설동 109-20번지,업무시설,20230109.0,20230210.0,제2종일반주거지역
2,서울특별시 동대문구 용두동 39-74번지,공동주택,20230131.0,20230130.0,도시지역
3,서울특별시 동대문구 용두동 122-18번지,공동주택,20221228.0,20230103.0,제2종일반주거지역
4,서울특별시 동대문구 제기동 1134번지,업무시설,20221219.0,20230103.0,제3종일반주거지역
5,서울특별시 동대문구 전농동 213-24번지,공동주택,20230220.0,20230215.0,도시지역
6,서울특별시 동대문구 전농동 646-39번지,단독주택,20221223.0,20221230.0,제2종일반주거지역
7,서울특별시 동대문구 답십리동 22-3번지,공동주택,20230228.0,20230224.0,제2종일반주거지역
8,서울특별시 동대문구 답십리동 463-10번지,창고시설,20230315.0,20230324.0,제3종일반주거지역
9,서울특별시 동대문구 장안동 393-8번지,공동주택,20221219.0,20221227.0,제2종일반주거지역
10,서울특별시 동대문구 청량리동 292-1번지,판매시설,20230103.0,20230109.0,일반상업지역
11,서울특별시 동대문구 청량리동 293번지,제1종근린생활시설,20221229.0,20230103.0,도시지역
12,서울특별시 동대문구 회기동 60-234번지,단독주택,20230227.0,20230315.0,제1종일반주거지역
13,서울특별시 동대문구 회기동 60-235번지,단독주택,20230227.0,20230315.0,제1종일반주거지역
14,서울특별시 동대문구 회기동 109-158번지,단독주택,20221129.0,20221202.0,도시지역
15,서울특별시 동대문구 이문동 77-13번지,제2종근린생활시설,20230215.0,20230228.0,준주거지역
16,서울특별시 동대문구 이문동 255-187번지,제1종근린생활시설,20230220.0,20230214.0,일반상업지역
17,서울특별시 동대문구 이문동 264-454번지,단독주택,20230302.0,20230307.0,도시지역
18,서울특별시 동대문구 이문동 288-50번지,교육연구시설,20230228.0,20230223.0,도시지역
