,대지위치,주용도코드명,착공예정일,실제착공일,지역코드명
0,서울특별시 동작구 노량진동 205-39번지,공동주택,20221219.0,20221214.0,도시지역
1,서울특별시 동작구 노량진동 207-4번지,공동주택,20221220.0,20221227.0,제2종일반주거지역
2,서울특별시 동작구 노량진동 215-157번지,공동주택,20230314.0,20230310.0,도시지역
3,서울특별시 동작구 상도동 249-8번지,단독주택,20221125.0,20221206.0,제2종일반주거지역
4,서울특별시 동작구 상도동 256-273번지,단독주택,20230301.0,20230303.0,도시지역
5,서울특별시 동작구 상도동 279-130번지,단독주택,20500720.0,20050720.0, 
6,서울특별시 동작구 상도동 279-148번지,공동주택,20230116.0,20230113.0,제2종일반주거지역
7,서울특별시 동작구 상도동 283-143번지,공동주택,20230110.0,20230210.0,제1종일반주거지역
8,서울특별시 동작구 상도동 325-8번지,제1종근린생활시설,20230201.0,20230209.0,준주거지역
9,서울특별시 동작구 상도동 427번지,제2종근린생활시설,20230109.0,20230206.0,도시지역
10,서울특별시 동작구 상도1동 341-2번지,단독주택,20221121.0,20221214.0,도시지역
11,서울특별시 동작구 본동 5-2번지,제2종근린생활시설,20230401.0,20230324.0,도시지역
12,서울특별시 동작구 흑석동 186-108번지,단독주택,20230130.0,20230213.0,도시지역
13,서울특별시 동작구 흑석동 194-65번지,단독주택,20230228.0,20230330.0,제2종일반주거지역
14,서울특별시 동작구 사당동 39-18번지,제1종근린생활시설,20221223.0,20221227.0,제3종일반주거지역
15,서울특별시 동작구 사당동 183-36번지,단독주택,20221204.0,20221219.0,제2종일반주거지역
16,서울특별시 동작구 사당동 318-2번지,제1종근린생활시설,20230320.0,20230328.0,제2종일반주거지역
17,서울특별시 동작구 사당동 321-95번지,단독주택,20330630.0,20030630.0,일반주거지역
18,서울특별시 동작구 사당동 437-39번지,공동주택,20230320.0,20230328.0,제2종일반주거지역
19,서울특별시 동작구 사당동 1004-40번지,공동주택,20230116.0,20230113.0,제2종일반주거지역
20,서울특별시 동작구 사당동 1007-25번지,업무시설,20230120.0,20230127.0,일반상업지역
21,서울특별시 동작구 사당동 1012-10번지,제2종근린생활시설,20221212.0,20221228.0,제2종일반주거지역
22,서울특별시 동작구 사당동 1028-21번지,단독주택,20230306.0,20230320.0,제2종일반주거지역
23,서울특별시 동작구 사당동 1032-6번지,제2종근린생활시설,20221011.0,20221209.0,제3종일반주거지역
24,서울특별시 동작구 사당동 1050-15번지,공동주택,20230220.0,20230306.0,제2종일반주거지역
25,서울특별시 동작구 사당동 1050-31번지,공동주택,20221003.0,20221222.0,제2종일반주거지역
26,서울특별시 동작구 대방동 375-73번지,단독주택,20221128.0,20221212.0,도시지역
27,서울특별시 동작구 대방동 386-17번지,단독주택,20230310.0,20230329.0,제2종일반주거지역
28,서울특별시 동작구 대방동 391-228번지,단독주택,20230116.0,20230221.0,제2종일반주거지역
