,대지위치,주용도코드명,착공예정일,실제착공일,지역코드명
0,서울특별시 은평구 수색동 160번지,업무시설,20221108.0,20221222.0,준주거지역
1,서울특별시 은평구 수색동 313-1번지,종교시설,20230123.0,20230217.0,도시지역
2,서울특별시 은평구 녹번동 14-5번지,제2종근린생활시설,20230327.0,20230329.0,가로구역별 최고높이 제한지역
3,서울특별시 은평구 녹번동 79-1번지,제2종근린생활시설,20221115.0,20221221.0,도시지역
4,서울특별시 은평구 녹번동 153-16번지,문화및집회시설,20230315.0,20230321.0,도시지역
5,서울특별시 은평구 녹번동 160-3번지,공동주택,20221216.0,20221230.0,제3종일반주거지역
6,서울특별시 은평구 갈현동 410-12번지,단독주택,52000410.0,20030411.0,일반주거지역
7,서울특별시 은평구 갈현동 435-28번지,단독주택,20221226.0,20221222.0,도시지역
8,서울특별시 은평구 갈현동 435-37번지,공동주택,20221114.0,20221212.0,제2종일반주거지역
9,서울특별시 은평구 갈현동 491-2번지,공동주택,20230201.0,20230206.0,제2종일반주거지역
10,서울특별시 은평구 구산동 19-1번지,공동주택,20221206.0,20221206.0,제2종일반주거지역
11,서울특별시 은평구 구산동 314번지,종교시설,20230317.0,20230323.0,도시지역
12,서울특별시 은평구 대조동 84-44번지,제2종근린생활시설,22090223.0,20090220.0,제3종일반주거지역
13,서울특별시 은평구 대조동 91-64번지,제1종근린생활시설,21060518.0,20160519.0,제2종일반주거지역
14,서울특별시 은평구 대조동 187-14번지,제2종근린생활시설,20230104.0,20230111.0,가로구역별 최고높이 제한지역
15,서울특별시 은평구 대조동 226-19번지,공동주택,20230116.0,20230227.0,도시지역
16,서울특별시 은평구 응암동 121-12번지,공동주택,20221212.0,20221125.0,준주거지역
17,서울특별시 은평구 응암동 409-13번지,제2종근린생활시설,20221213.0,20221213.0,제2종일반주거지역
18,서울특별시 은평구 응암동 583-6번지,공동주택,20230313.0,20230310.0,제2종일반주거지역
19,서울특별시 은평구 역촌동 10-101번지,공동주택,20230316.0,20230322.0,도시지역
20,서울특별시 은평구 역촌동 49-16번지,공동주택,20230213.0,20230217.0,제2종일반주거지역
21,서울특별시 은평구 신사동 22-1번지,제1종근린생활시설,20230116.0,20230203.0,도시지역
22,서울특별시 은평구 신사동 171-57번지,제2종근린생활시설,20230303.0,20230303.0,도시지역
23,서울특별시 은평구 증산동 223-15번지,업무시설,20230201.0,20221122.0,도시지역
24,서울특별시 은평구 진관동 323-12번지,제1종근린생활시설,20230315.0,20230317.0,자연녹지지역
25,서울특별시 은평구 진관동 327-24번지,제2종근린생활시설,21180720.0,20180718.0,자연녹지지역
