,대지위치,주용도코드명,착공예정일,실제착공일,지역코드명
0,서울특별시 강남구 역삼동 601-7번지,제2종근린생활시설,20230321.0,20230323.0,제3종일반주거지역
1,서울특별시 강남구 역삼동 606-11번지,제2종근린생활시설,20230213.0,20230308.0,도시지역
2,서울특별시 강남구 역삼동 613-12번지,제1종근린생활시설,20230403.0,20230331.0,제1종전용주거지역
3,서울특별시 강남구 역삼동 621-22번지,제1종근린생활시설,20221201.0,20230103.0,제1종전용주거지역
4,서울특별시 강남구 역삼동 622-18번지,제1종근린생활시설,20221220.0,20221216.0,도시지역
5,서울특별시 강남구 역삼동 624-10번지,제1종근린생활시설,20221219.0,20221219.0,제1종전용주거지역
6,서울특별시 강남구 역삼동 624-12번지,제1종근린생활시설,20230213.0,20230227.0,제1종전용주거지역
7,서울특별시 강남구 역삼동 645-9번지,제2종근린생활시설,20230207.0,20230206.0,제2종일반주거지역
8,서울특별시 강남구 역삼동 646-15번지,업무시설,20230301.0,20230223.0,도시지역
9,서울특별시 강남구 역삼동 664-33번지,제2종근린생활시설,20221117.0,20221206.0,도시지역
10,서울특별시 강남구 역삼동 679번지,업무시설,20230318.0,20230320.0,일반상업지역
11,서울특별시 강남구 역삼동 682-17번지,제2종근린생활시설,20221215.0,20221213.0,도시지역
12,서울특별시 강남구 역삼동 690-11번지,제2종근린생활시설,20230313.0,20230315.0,제1종일반주거지역
13,서울특별시 강남구 역삼동 720-17번지,업무시설,20221227.0,20230104.0,일반상업지역
14,서울특별시 강남구 역삼동 736-28번지,업무시설,20230102.0,20221220.0,도시지역
15,서울특별시 강남구 역삼동 737번지,업무시설,20221221.0,20221221.0,일반상업지역
16,서울특별시 강남구 역삼동 737번지,업무시설,20230304.0,20230306.0,일반상업지역
17,서울특별시 강남구 역삼동 739번지,제2종근린생활시설,20230220.0,20230220.0,도시지역
18,서울특별시 강남구 역삼동 741-39번지,제2종근린생활시설,20230113.0,20230113.0,제2종일반주거지역
19,서울특별시 강남구 역삼동 745-26번지,제2종근린생활시설,20230210.0,20230208.0,도시지역
20,서울특별시 강남구 역삼동 746-16번지,제2종근린생활시설,20221201.0,20221209.0,도시지역
21,서울특별시 강남구 역삼동 752-38번지,제1종근린생활시설,20230220.0,20230222.0,제2종일반주거지역
22,서울특별시 강남구 역삼동 755번지,업무시설,20221222.0,20221228.0,도시지역
23,서울특별시 강남구 역삼동 765-3번지,제2종근린생활시설,21211205.0,20211223.0,제3종일반주거지역
24,서울특별시 강남구 역삼동 773-17번지,제2종근린생활시설,20230203.0,20230209.0,제3종일반주거지역
25,서울특별시 강남구 역삼동 786-16번지,제2종근린생활시설,20230106.0,20230110.0,도시지역
26,서울특별시 강남구 역삼동 788-15번지,제2종근린생활시설,20221226.0,20221229.0,도시지역
27,서울특별시 강남구 역삼동 789-4번지,제2종근린생활시설,20230131.0,20230210.0,도시지역
28,서울특별시 강남구 역삼동 792-12번지,제2종근린생활시설,20221201.0,20230120.0,도시지역
29,서울특별시 강남구 역삼동 813번지,제2종근린생활시설,20230220.0,20230222.0,도시지역
30,서울특별시 강남구 역삼동 813-9번지,제2종근린생활시설,20230321.0,20230324.0,제2종일반주거지역
31,서울특별시 강남구 역삼동 814번지,업무시설,20221210.0,20230119.0,가로구역별 최고높이 제한지역
32,서울특별시 강남구 역삼동 816-3번지,제1종근린생활시설,20230324.0,20230329.0,일반상업지역
33,서울특별시 강남구 역삼동 819-2번지,업무시설,20230201.0,20230131.0,도시지역
34,서울특별시 강남구 역삼동 830-16번지,제2종근린생활시설,20230220.0,20230217.0,제3종일반주거지역
35,서울특별시 강남구 역삼동 836-28번지,제2종근린생활시설,20230215.0,20230215.0,절대보호구역
36,서울특별시 강남구 역삼동 839-11번지,제2종근린생활시설,20221201.0,20221228.0,도시지역
37,서울특별시 강남구 개포동 164-5번지,제2종근린생활시설,20230320.0,20230316.0,도시지역
38,서울특별시 강남구 개포동 189번지,제1종근린생활시설,20230123.0,20230119.0,도시지역
39,서울특별시 강남구 개포동 660-1번지,업무시설,20221130.0,20230224.0,제2종일반주거지역
40,서울특별시 강남구 개포동 1168-3번지,공동주택,20221228.0,20230112.0,도시지역
41,서울특별시 강남구 개포동 1234-16번지,제2종근린생활시설,20221212.0,20221223.0,제2종일반주거지역
42,서울특별시 강남구 개포동 1245번지,제1종근린생활시설,20221210.0,20221213.0,도시지역
43,서울특별시 강남구 청담동 2-18번지,제1종근린생활시설,20221216.0,20221226.0,도시지역
44,서울특별시 강남구 청담동 3-7번지,제1종근린생활시설,20230320.0,20230320.0,일반상업지역
45,서울특별시 강남구 청담동 19-21번지,제2종근린생활시설,20230301.0,20230315.0,도시지역
46,서울특별시 강남구 청담동 37-7번지,제2종근린생활시설,20230101.0,20221229.0,상대보호구역
47,서울특별시 강남구 청담동 40-21번지,제2종근린생활시설,20230325.0,20230321.0,상대보호구역
48,서울특별시 강남구 청담동 55-3번지,제2종근린생활시설,20221130.0,20221202.0,도시지역
49,서울특별시 강남구 청담동 80-2번지,제1종근린생활시설,20221212.0,20221228.0,상대보호구역
50,서울특별시 강남구 청담동 89-15번지,제2종근린생활시설,20230105.0,20230104.0,도시지역
51,서울특별시 강남구 청담동 92-8번지,업무시설,20230131.0,20230119.0,도시지역
52,서울특별시 강남구 청담동 99-23번지,제1종근린생활시설,20230113.0,20230117.0,제3종일반주거지역
53,서울특별시 강남구 청담동 111-10번지,제2종근린생활시설,20221217.0,20221215.0,상대보호구역
54,서울특별시 강남구 청담동 118-15번지,업무시설,20230215.0,20230206.0,도시지역
55,서울특별시 강남구 청담동 118-15번지,업무시설,20230301.0,20230217.0,상대보호구역
56,서울특별시 강남구 청담동 123-10번지,제2종근린생활시설,20221205.0,20221125.0,제2종일반주거지역
57,서울특별시 강남구 청담동 128-7번지,제2종근린생활시설,20221129.0,20230310.0,가로구역별 최고높이 제한지역
58,서울특별시 강남구 삼성동 24-19번지,제2종근린생활시설,20221130.0,20221228.0,도시지역
59,서울특별시 강남구 삼성동 26번지,제2종근린생활시설,20230327.0,20230331.0,상대보호구역
60,서울특별시 강남구 삼성동 68-11번지,단독주택,20221205.0,20221206.0,상대보호구역
61,서울특별시 강남구 삼성동 94-13번지,제1종근린생활시설,20230215.0,20230228.0,제1종전용주거지역
62,서울특별시 강남구 삼성동 99-7번지,제2종근린생활시설,20230315.0,20230328.0,도시지역
63,서울특별시 강남구 삼성동 121-9번지,제2종근린생활시설,20221219.0,20221215.0,제2종일반주거지역
64,서울특별시 강남구 삼성동 121-15번지,제2종근린생활시설,20230213.0,20230206.0,도시지역
65,서울특별시 강남구 삼성동 124-16번지,제2종근린생활시설,20210401.0,20240401.0,도시지역
66,서울특별시 강남구 삼성동 127-12번지,업무시설,20230109.0,20230109.0,도시지역
67,서울특별시 강남구 삼성동 159번지,업무시설,20230116.0,20230119.0,일반상업지역
68,서울특별시 강남구 삼성동 159-8번지,숙박시설,20230313.0,20230309.0,가로구역별 최고높이 제한지역
69,서울특별시 강남구 대치동 889-5번지,업무시설,20221222.0,20221222.0,일반상업지역
70,서울특별시 강남구 대치동 889-47번지,업무시설,20230403.0,20230331.0,일반상업지역
71,서울특별시 강남구 대치동 891-51번지,업무시설,20230112.0,20230120.0,가로구역별 최고높이 제한지역
72,서울특별시 강남구 대치동 919-19번지,단독주택,20230302.0,20230228.0,제2종일반주거지역
73,서울특별시 강남구 대치동 926-6번지,공동주택,20230220.0,20230221.0,상대보호구역
