,대지위치,주용도코드명,자전거전용도로비율,stcnsDelayDay,실제착공일,지역코드명
0,서울특별시 강남구 개포동 12번지, , , ,20011210, 
1,서울특별시 강남구 개포동 12번지, , , , , 
2,서울특별시 강남구 개포동 12번지, , , , , 
3,서울특별시 강남구 개포동 12번지, , , , , 
4,서울특별시 강남구 개포동 12-4번지,문화및집회시설, , , ,일반주거지역
5,서울특별시 강남구 개포동 12-4번지, , , , ,일반주거지역
6,서울특별시 강남구 개포동 12-4번지,제1종근린생활시설, , , ,도시지역
7,서울특별시 강남구 개포동 12-4번지,제2종근린생활시설, , , ,제3종일반주거지역
8,서울특별시 강남구 개포동 12-4번지,교육연구시설, , , , 
9,서울특별시 강남구 개포동 12-4번지,제2종근린생활시설, , , ,제3종일반주거지역
10,서울특별시 강남구 개포동 12-4번지,제1종근린생활시설, , , , 
11,서울특별시 강남구 개포동 12-4번지,제2종근린생활시설, , , , 
12,서울특별시 강남구 개포동 12-4번지,제2종근린생활시설, , , , 
13,서울특별시 강남구 개포동 12-4번지,제2종근린생활시설, , , ,상대보호구역
14,서울특별시 강남구 개포동 12-4번지,제2종근린생활시설, , , ,제3종일반주거지역
15,서울특별시 강남구 개포동 12-4번지,제2종근린생활시설, , , ,상대보호구역
16,서울특별시 강남구 개포동 12-4번지,제1종근린생활시설, , , ,상대보호구역
17,서울특별시 강남구 개포동 12-4번지,제1종근린생활시설, , , ,제3종일반주거지역
18,서울특별시 강남구 개포동 12-4번지,제2종근린생활시설, , , ,제3종일반주거지역
19,서울특별시 강남구 개포동 12-4번지,제1종근린생활시설, , , , 
20,서울특별시 강남구 개포동 12-4번지,제1종근린생활시설, , , ,제3종일반주거지역
21,서울특별시 강남구 개포동 12-4번지,제1종근린생활시설, , , ,제3종일반주거지역
22,서울특별시 강남구 개포동 12-4번지,제2종근린생활시설, , , ,도시지역
23,서울특별시 강남구 개포동 13-3번지,업무시설, , , , 
24,서울특별시 강남구 개포동 13-3번지,업무시설, , , ,일반상업지역
25,서울특별시 강남구 개포동 13-3번지,업무시설, , , ,일반상업지역
26,서울특별시 강남구 개포동 13-3번지,업무시설, , , ,일반상업지역
27,서울특별시 강남구 개포동 13-3번지,업무시설, , , ,일반상업지역
28,서울특별시 강남구 개포동 13-3번지,업무시설, , , ,일반상업지역
29,서울특별시 강남구 개포동 13-3번지,업무시설, , , , 
30,서울특별시 강남구 개포동 13-3번지,업무시설, , , ,도시지역
31,서울특별시 강남구 개포동 13-3번지,판매시설, , , ,일반상업지역
32,서울특별시 강남구 개포동 13-3번지,판매시설, , , ,도시지역
33,서울특별시 강남구 개포동 13-3번지,업무시설, , , ,일반상업지역
34,서울특별시 강남구 개포동 13-3번지,업무시설, , , ,가로구역별 최고높이 제한지역
35,서울특별시 강남구 개포동 13-3번지,판매시설, , , ,가로구역별 최고높이 제한지역
36,서울특별시 강남구 개포동 14번지,업무시설, , , ,제2종일반주거지역
37,서울특별시 강남구 개포동 14번지,업무시설, , , , 
38,서울특별시 강남구 개포동 14번지, , , , ,제2종일반주거지역
39,서울특별시 강남구 개포동 14번지,업무시설, , , ,제2종일반주거지역
40,서울특별시 강남구 개포동 14번지,업무시설, , , ,제2종일반주거지역
41,서울특별시 강남구 개포동 14번지, , , , ,제2종일반주거지역
42,서울특별시 강남구 개포동 14번지,업무시설,20220329, ,20220419,상대보호구역
43,서울특별시 강남구 개포동 14번지, , , , , 
44,서울특별시 강남구 개포동 14번지, , , , ,상대보호구역
45,서울특별시 강남구 개포동 14번지, , , , ,제2종일반주거지역
46,서울특별시 강남구 개포동 14번지,업무시설,20220627, ,20220708,상대보호구역
47,서울특별시 강남구 개포동 14-1번지,판매시설, , , ,도시지역
48,서울특별시 강남구 개포동 14-1번지,업무시설, , , ,일반상업지역
49,서울특별시 강남구 개포동 14-3번지,종교시설,20120709, ,20120709,도시지역
50,서울특별시 강남구 개포동 14-4번지, , , , , 
51,서울특별시 강남구 개포동 14-4번지,업무시설, , , ,도시지역
52,서울특별시 강남구 개포동 14-4번지,업무시설, , , ,도시지역
53,서울특별시 강남구 개포동 14-4번지,업무시설, , , ,제3종일반주거지역
54,서울특별시 강남구 개포동 14-4번지, , , , ,상대보호구역
55,서울특별시 강남구 개포동 138번지, , , , , 
56,서울특별시 강남구 개포동 138번지, , , , ,제2종일반주거지역
57,서울특별시 강남구 개포동 138번지, , , , , 
58,서울특별시 강남구 개포동 138번지, , , , , 
59,서울특별시 강남구 개포동 138번지, , , , , 
60,서울특별시 강남구 개포동 138번지, , , , , 
61,서울특별시 강남구 개포동 138번지, , , , , 
62,서울특별시 강남구 개포동 138번지, , , , , 
63,서울특별시 강남구 개포동 138번지, , , , ,상대보호구역
64,서울특별시 강남구 개포동 138번지,공동주택, , , ,제2종일반주거지역
65,서울특별시 강남구 개포동 138번지,공동주택,20160820, , ,제2종일반주거지역
66,서울특별시 강남구 개포동 138-1번지, , , , , 
67,서울특별시 강남구 개포동 140번지, , , , , 
68,서울특별시 강남구 개포동 140번지, , , , ,도시지역
69,서울특별시 강남구 개포동 140번지, , , , , 
70,서울특별시 강남구 개포동 140번지, , , , , 
71,서울특별시 강남구 개포동 140번지, , , , ,도시지역
72,서울특별시 강남구 개포동 140번지, , , , ,도시지역
73,서울특별시 강남구 개포동 140번지, , , , ,도시지역
74,서울특별시 강남구 개포동 140번지, , , , ,도시지역
75,서울특별시 강남구 개포동 140번지, , , , , 
76,서울특별시 강남구 개포동 140번지, , , , , 
77,서울특별시 강남구 개포동 142번지, , , , ,상대보호구역
78,서울특별시 강남구 개포동 153번지,교육연구시설, , , ,도시지역
79,서울특별시 강남구 개포동 153번지, , , , ,제2종일반주거지역
80,서울특별시 강남구 개포동 153번지,교육연구시설,20181214, ,20181213,제2종일반주거지역
81,서울특별시 강남구 개포동 153번지,교육연구시설, , , ,도시지역
82,서울특별시 강남구 개포동 155번지,공동주택, , ,20000726,일반주거지역
83,서울특별시 강남구 개포동 157번지,제1종근린생활시설, , , ,준주거지역
84,서울특별시 강남구 개포동 157번지, , , , , 
85,서울특별시 강남구 개포동 157번지,제1종근린생활시설,20161124, ,20161123,준주거지역
86,서울특별시 강남구 개포동 157-1번지,문화및집회시설,20000331, ,20000414,준주거지역
87,서울특별시 강남구 개포동 157-9번지,공동주택,20110103, ,20101231,도시지역
88,서울특별시 강남구 개포동 157-9번지,교육연구및복지시설, , , ,준주거지역
89,서울특별시 강남구 개포동 157-15번지,제2종근린생활시설, , ,20010407,제1종일반주거지역
90,서울특별시 강남구 개포동 158번지,제2종근린생활시설,20091025,20100501,20091207,준주거지역
91,서울특별시 강남구 개포동 158-7번지,제2종근린생활시설, , , ,도시지역
92,서울특별시 강남구 개포동 158-7번지,제1종근린생활시설,20180410, ,20180409,준주거지역
93,서울특별시 강남구 개포동 158-8번지,제2종근린생활시설, , , ,일반주거지역
